0,1,2,3,4,5,6,7,8,9,10
"[3971.481790701235, 1832.2000890698873]","[6918.959536102102, 862.0653094300557]","[19706.214215471493, 1200.3668079720364]","[22906.62300166731, 2903.207171319679]","[12073.390160397938, 2194.2836473920024]","[23842.03325266214, 1751.1241548589414]","[10680.770018099067, 1014.7740560970653]","[17407.00596678681, 1880.8504339999201]","[24054.02248145699, 2224.321390478088]","[40582.19337819787, 2932.9389495758746]","[8681.844184402431, 3137.056028181012]"
"[77.12989692291093, 38.37786368930975]","[257.177399885086, 29.737609191127586]","[688.6719387586894, 36.53260189264147]","[746.036116629773, 80.68485427801285]","[452.95933672123937, 61.56717374542887]","[765.498633588684, 50.57402506249381]","[355.61541513264643, 24.78268521730955]","[594.6083603595551, 54.6800557420962]","[490.13839455959743, 57.009246117744]","[1383.2567593217173, 95.73998814061879]","[411.1545266741114, 101.54280882716905]"
"[68.48682978000069, 45.39602882469486]","[637.9101763800135, 57.8588512652981]","[1582.0266946205124, 70.92679257845202]","[1683.4142650808994, 134.6988216839446]","[1040.3840865299178, 93.08753564534967]","[1721.1262571707782, 83.31914611775723]","[837.8081484299681, 45.489054268719585]","[1305.325624440228, 98.5407172948032]","[430.20436713016227, 61.09958641120098]","[3308.64008430013, 184.50485073678254]","[1142.7705411899933, 190.15272918013844]"
"[0.0020580408385586727, 9.134207579465971e-05]","[0.017085750691167616, 0.0003686905630205956]","[0.04246269234764162, 0.0005643270878541189]","[0.04523065971827806, 0.0007334957145195161]","[0.02809169163346126, 0.0005328361151016293]","[0.044756059102182166, 0.0005192079728986795]","[0.021753198353514094, 0.00042949305275420484]","[0.03441301037146441, 0.0005885254832525926]","[0.013764950790523969, 0.00025437116811239394]","[0.08638220037337178, 0.002058585740231944]","[0.02840726462140188, 0.0012521191344177995]"
"[0.09161921739736889, 0.12167633872512376]","[0.11572931604535383, 0.05600002428550291]","[0.38275862520295373, 0.07716500158061566]","[0.4625103539742948, 0.21064619540682764]","[0.2055461674018076, 0.115685883061889]","[0.47289238829735464, 0.11937262544676289]","[0.20245344979433344, 0.0574103991296159]","[0.33217885326801544, 0.13152468733538597]","[0.5889734238433812, 0.15198431366111625]","[0.6612134412133399, 0.1591527358840843]","[0.1747306715461824, 0.19900721025524876]"
"[4.197204619267777e-09, 9.883322075630431e-11]","[1.1959889497749328e-06, 8.620836749731077e-09]","[3.946566626852387e-06, 7.963248427366188e-09]","[4.9417991555962175e-06, 2.6350767276412487e-08]","[2.250706973538088e-06, 1.269264730563483e-08]","[4.96969198972528e-06, 1.542741573506929e-08]","[2.223884938935292e-06, 2.1581071377285056e-09]","[3.372438582231515e-06, 3.3953690194586677e-08]","[4.328819699689788e-08, 8.230513552304819e-10]","[6.533166529030978e-06, 3.0428373058728575e-08]","[3.1640663697206812e-06, 7.471060106912977e-08]"
