0,1,2,3,4,5,6,7,8,9,10
"[839.0, 73.84460379999997]","[3459.2000000000003, 165.07243770000014]","[7147.2, 130.615659]","[7422.500000000003, 207.06302900000057]","[4642.200000000001, 138.50330000000002]","[6981.500000000001, 136.444619]","[4479.900000000001, 172.8208300000001]","[5703.800000000001, 157.22292800000014]","[5631.1, 137.5852154]","[17008.3, 700.9287286999999]","[3516.8, 244.03865000000138]"
"[22.716000000000058, 2.4419951337096917]","[189.82619999999747, 11.608756704899976]","[472.2029999999308, 11.809793699999986]","[502.9082999999228, 21.294954900000004]","[312.22259999998175, 12.186416999999983]","[497.7044999999271, 15.701938691469985]","[241.57709999999128, 7.99951110000001]","[381.9302999999595, 15.17682869789998]","[152.14679999999223, 5.200321710000014]","[958.7574000002143, 41.68715115223264]","[315.75599999999173, 31.51413290490002]"
"[22.907100000000064, 3.8222040000000055]","[588.1919999999926, 39.487509000000095]","[1406.7302999999529, 46.45928000000008]","[1512.4790999999384, 69.842219]","[937.5899999999759, 49.87674800000005]","[1530.8519999999212, 44.902921000000006]","[748.934999999992, 26.568828999999997]","[1143.1361999999624, 54.772844000000056]","[152.78729999999192, 6.736839000000011]","[2989.5141000005183, 131.46133400000133]","[1054.9139999999315, 112.82192000000006]"
"[0.0020353680000000313, 8.715963375695696e-05]","[0.017058276000000056, 0.00036668187981335227]","[0.04236956099999695, 0.0005595585432487451]","[0.0451432439999955, 0.0007272854560567672]","[0.028031427000001524, 0.0005254488669036592]","[0.04465165499999595, 0.0005148101534987837]","[0.021702816000000916, 0.000425516922373473]","[0.03433365900000053, 0.0005804529360836696]","[0.013637645999999103, 0.00024775024599954536]","[0.08621388899997377, 0.002046417170752168]","[0.02836134000000102, 0.0012419092822165876]"
"[0.003621394517004993, 0.00035254655555121904]","[0.011098551749666155, 0.0018199692764615909]","[0.024977320881867847, 0.0007611176459679679]","[0.025221519832886712, 0.0025869802700570384]","[0.022097475300804137, 0.0007974434274920148]","[0.023350736570933128, 0.001320824456023394]","[0.01502381082527552, 0.0012961522471969663]","[0.018318327335951363, 0.0011214573339432949]","[0.023794603039095762, 0.00043791583706295913]","[0.048786592988137305, 0.0029270516155529194]","[0.010698354692084052, 0.001336782522568103]"
"[4.197125634418252e-09, 9.880798684074992e-11]","[1.1959888304196112e-06, 8.6208297829988e-09]","[3.946566349783126e-06, 7.963232501672192e-09]","[4.9417986144357935e-06, 2.6350734077005565e-08]","[2.250706806347476e-06, 1.2692618570828492e-08]","[4.969691569825214e-06, 1.542738730467854e-08]","[2.223884773565319e-06, 2.1580955505581972e-09]","[3.3724380686441454e-06, 3.3953660880573035e-08]","[4.328768027995511e-08, 8.230296837105756e-10]","[6.533165937964651e-06, 3.042801362477012e-08]","[3.164066230960702e-06, 7.471056108002263e-08]"
