0,1,2,3,4,5
"[1.100609247474357, 0.5224187895692015]","[1.6864547952163096, 0.5453468690986174]","[2.10935342431488, 1.9849175963514194]","[0.2976732026526773, 0.12531929502908928]","[2.290253596185317, 0.9717664456222641]","[2.1368284804612405, 4.196828082000798]"
"[1.1677990467965749, 0.43929576124547526]","[1.676740389455412, 0.5031889385404885]","[2.1044612360019226, 1.1618374917584553]","[0.2920458505235028, 0.11180829475217673]","[2.3268316703054484, 0.9120545721449226]","[2.171517614994722, 1.862485501025093]"
"[0.573323589287275, 0.28724569478279477]","[0.8420785449121245, 0.34897085059234334]","[1.0873893551002596, 0.6235009045685643]","[0.13839082139173733, 0.08770103209506144]","[1.2030259355329593, 0.6853888254883839]","[1.1036177312128643, 2.39066179787899]"
"[0.5942824270004226, 0.2981071527650928]","[0.8834477345916633, 0.3678323188814127]","[1.1511848846755564, 0.6450070116351687]","[0.14577416394965845, 0.0916596916419192]","[1.257653090511609, 0.7671305158678996]","[1.1602879215359294, 1.7938520756229897]"
"[0.05743923614596925, 0.014040184716685424]","[0.07814590807165803, 0.01780021237978051]","[0.09486818500101107, 0.12280924653581658]","[0.015746424756129432, 0.004356990427422761]","[0.1148691101616416, 0.09765250663982665]","[0.09224259853321272, 0.8814830433700603]"
"[0.043439919054925, 0.01072112813122798]","[0.06150339092195314, 0.014288863037578866]","[0.0703361655374029, 0.04742495762475967]","[0.009746828007293165, 0.0034118871414235714]","[0.08602929959703044, 0.22556174818071287]","[0.07046005730539887, 0.8229292486856883]"
"[0.03763531167911121, 0.011790569600796552]","[0.053447519845285646, 0.012981808295563025]","[0.06656209667725424, 0.047271213842030285]","[0.00906704546540366, 0.003569118120917225]","[0.07812003280506483, 0.042987924591375765]","[0.06470564818889962, 0.6821838838949992]"
