0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"[37960.45812129409, 5835.446661499676]","[35535.28489793704, 5313.537850827379]","[98769.46199115414, 4865.825453842849]","[60385.185508545845, 5063.898156321455]","[38625.30892139596, 4378.679446123177]","[10158.929109000097, 2470.2344706648296]","[12989.631458295076, 2058.1880489560017]","[88244.67314067694, 6546.3461478605495]","[82509.68652618732, 6518.489386187774]","[74508.78078617135, 5092.969091784356]","[75200.03788093041, 6183.033265593326]","[56247.3054756936, 7498.688486204281]","[36583.58536342434, 4059.0635015643766]","[27627.067833158148, 2343.7219862691877]","[113845.80934533308, 5310.143355106747]","[20758.241651777877, 1875.188722606971]","[40829.48740540265, 4363.23519276518]","[46885.69294111644, 1620.9310785699975]","[249.03364450000186, 434.81441996999035]","[17354.997377483065, 2730.3227328674375]"
"[1199.8111132518138, 157.37079285777457]","[1201.751544833429, 231.384882725251]","[1902.1612704307886, 115.04695917471585]","[1806.8693130059999, 151.47508763500022]","[1506.5047482870746, 168.2146016095224]","[421.5019020416115, 118.99772537922063]","[368.91333132546083, 55.76457598644002]","[1763.662243072566, 158.8175323245863]","[1524.8924119020794, 147.7732113369245]","[3432.542415959834, 212.64739029111078]","[2051.178729584356, 102.10304135242623]","[1694.878133794619, 165.94762182522328]","[749.1755271861313, 112.05090325382447]","[974.6185136878096, 86.74109992219056]","[2360.385117898457, 159.77707062741004]","[432.82948218569015, 47.97486746710505]","[861.9306116376916, 108.708354169596]","[935.748658820343, 46.81629655723829]","[6.596592668099987, 16.143413125844912]","[513.6404383388193, 81.25449914974313]"
"[2360.970272850962, 272.61278635382433]","[2468.2849573805615, 448.2451629689289]","[1598.3781718833636, 128.6701462377597]","[3731.0443865091247, 319.88455905276766]","[3577.9302286498387, 330.7697259459368]","[1006.9168118699503, 172.58561856756558]","[742.1513673899927, 91.04775830961884]","[1521.8266354531377, 192.32661056470025]","[1888.0763074841502, 213.73578607154113]","[9389.637042260512, 519.8810355454973]","[3662.312807067707, 187.68598781007378]","[3313.6370109891336, 266.29219370297704]","[632.1785818502377, 124.72786999080675]","[2293.089943591007, 195.41495922335298]","[2020.3300096867551, 154.65614627806477]","[364.33864533016424, 51.11950155065885]","[762.0374498701581, 126.45619084402118]","[812.9073173702483, 53.52874615954351]","[12.949297980000065, 38.81016770100945]","[1150.0012947000182, 164.24037665572]"
"[0.055784908125404854, 0.0016806481771465215]","[0.06168490875045154, 0.0021490958604080228]","[0.038908902375745735, 0.0005959974622052446]","[0.08166399727487388, 0.0025342101675715103]","[0.08478017854112602, 0.002340088904147122]","[0.02685483595564301, 0.0006254667620953898]","[0.017684954243099876, 0.0003674064587880041]","[0.05254268262377943, 0.0008141618787469678]","[0.051762400492882485, 0.0016097438942231745]","[0.23695136218061003, 0.003824756011676857]","[0.08704866786884868, 0.0009903513130354426]","[0.08035314803703802, 0.0019123995128890528]","[0.018325729157511735, 0.000347770775200862]","[0.05820611241905043, 0.001404227562681959]","[0.0697575810871942, 0.0008133364082271179]","[0.013642089909136184, 0.00021572304471473465]","[0.03143304021344905, 0.0004752345549294325]","[0.024496069239066606, 0.0002686368345338569]","[0.00031144924685721007, 6.471503108017676e-05]","[0.026669606658542063, 0.0010687156370943565]"
"[1.312025607252955, 0.2838137163289794]","[1.3357137929553942, 0.40057692024130837]","[4.0666903607289795, 0.3373557825520634]","[1.930919786251095, 0.344984002410463]","[1.3185162737221952, 0.3222379859400059]","[0.1704309678433714, 0.20086003461433463]","[0.30667543831657856, 0.13096185940897065]","[2.548384726163726, 0.4651298371201175]","[2.128323511040775, 0.44550218508217176]","[1.392160510654526, 0.3396421600023196]","[2.2462710510253525, 0.29252627913332707]","[1.6290544268894998, 0.3896080759146968]","[1.4802575460316623, 0.30050361198998443]","[1.0268263300080906, 0.19927852811345492]","[3.142042683201442, 0.37761122388693136]","[0.3633923949145846, 0.1214931790898152]","[1.1744728307749381, 0.333920504089935]","[1.13558828814848, 0.10713030085681853]","[0.005790320992692362, 0.03793218041075951]","[0.4530364429062, 0.16253416187555678]"
"[7.633568393368592e-06, 6.82829826292213e-08]","[1.1098740563824593e-05, 1.676934235941741e-07]","[2.6534474574316026e-07, 1.2860551400345702e-09]","[1.3417509536051637e-05, 6.33077046383329e-07]","[1.538995660484463e-05, 1.5762020062686769e-07]","[3.1916873596399476e-06, 2.1687618195177368e-08]","[1.303053930483538e-06, 5.885174096154382e-08]","[2.591214400262038e-07, 7.107534713589287e-10]","[3.9092522556706464e-07, 9.101891594753201e-09]","[2.8791216868480997e-05, 1.8825009571985996e-07]","[1.0782353314235297e-05, 1.1841881208757388e-07]","[1.3180899655115868e-05, 8.374573091293883e-08]","[6.76624309678559e-08, 2.986182930998851e-10]","[1.0372144852667175e-05, 8.708320622045391e-08]","[3.1751185352082636e-07, 1.347941596630089e-09]","[6.158807589173274e-08, 1.6875726090373084e-10]","[1.1029745472974574e-07, 5.90219453187782e-10]","[8.5147356567613e-08, 3.892814450071878e-10]","[1.1899477343520193e-08, 9.874266094309118e-11]","[3.935952850854976e-06, 6.449013062388721e-08]"
