0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"[8778.2, 501.50709899999913]","[9266.1, 731.0753260999986]","[15848.499999999996, 315.58854200000036]","[12797.7, 690.5379519999997]","[10493.2, 469.024037]","[4201.2, 269.9082003000025]","[2777.9, 109.47777770000003]","[21412.09999999998, 481.16817900000024]","[21151.999999999996, 855.7102800000014]","[29378.099999999962, 838.8327870000014]","[13350.099999999999, 245.18505800000062]","[13258.189999999999, 459.3479590000001]","[7481.700000000002, 333.0029090000014]","[8784.2, 339.0272697000003]","[28451.199999999986, 433.91400499999975]","[5572.900000000002, 131.96746000000013]","[12874.499999999996, 305.5303790000004]","[9993.699999999999, 145.39790000000002]","[46.0, 28.424160000000036]","[3290.8, 231.54767600000062]"
"[617.7161999999763, 41.523474000000334]","[684.0846000000063, 85.04780949344172]","[427.3361999998591, 11.290476419999978]","[905.9040000001223, 49.86090081000056]","[941.1120000000898, 60.04933014000077]","[298.5893999999882, 32.247337410000085]","[196.33500000000208, 11.736140622999995]","[579.1598999999294, 21.26560509147006]","[572.1623999999146, 27.843826143000154]","[2632.374000000142, 106.95017191000248]","[965.9079000001434, 25.837567293000003]","[890.9988000001264, 41.130097530000256]","[201.85469999996803, 15.318851282999939]","[646.3205999999899, 33.49257718819148]","[769.3794000002323, 14.711600519999916]","[150.55649999999335, 5.147882640000015]","[347.7500999998973, 10.487753819999975]","[269.7479999999351, 5.632085700000014]","[3.4469999999999987, 5.718760199999999]","[295.6049999999973, 28.218317400000004]"
"[1892.8130999998914, 145.65200909000083]","[2135.852399999913, 298.8778880810022]","[430.318199999858, 17.152919999999956]","[3020.0580000004124, 217.41945900000292]","[3141.4080000004446, 219.0206478003026]","[917.4530999999708, 91.24912400000044]","[601.2821999999978, 40.03056000000002]","[596.1278999999591, 34.891365270000044]","[1185.1755000002165, 79.14846100000155]","[8796.546000002054, 404.90105200000136]","[2986.2612000004674, 99.91550699999995]","[2672.722800000314, 133.37425599999995]","[202.11929999996786, 26.056215000000037]","[2016.116999999862, 134.58880000000022]","[777.5988000002409, 21.688737000000064]","[153.38729999999205, 7.702887000000015]","[349.74299999989665, 14.585468999999948]","[270.59429999993444, 9.168106999999987]","[10.797, 25.366930000000032]","[986.483999999942, 107.6081500000599]"
"[0.0554862536099912, 0.00165887353176877]","[0.06152452199998876, 0.002125267770257511]","[0.03835179900129097, 0.000575103601394271]","[0.08121402899997981, 0.0025133556463826623]","[0.08448650999998138, 0.0023090680726863596]","[0.026796557700001288, 0.0006168774971829562]","[0.01761231600000029, 0.00036204691078213806]","[0.0520189289999866, 0.0007908314788533713]","[0.05143394699998722, 0.0015964408197200327]","[0.23653944000011443, 0.0037969722662510724]","[0.08671460669997787, 0.000979432302285534]","[0.080020953000096, 0.001889762052374017]","[0.018120995999999875, 0.0003349401585191769]","[0.05805545399999019, 0.0013958896731607808]","[0.0690950249999708, 0.0007923335062796146]","[0.013519466999999145, 0.00020855317844825917]","[0.031215861000006277, 0.00045999576894247175]","[0.024225156000002857, 0.0002623673706810614]","[0.00031022999999999994, 6.348977706167218e-05]","[0.026576100000000914, 0.0010568289586119894]"
"[0.04201488766320064, 0.006812517902216237]","[0.04612943621974796, 0.007754172195401092]","[0.10060271809498088, 0.0021530633174414314]","[0.059221317199608894, 0.0046219841426992335]","[0.05394106329430959, 0.0034404941202004157]","[0.013865674072475638, 0.002021236016696274]","[0.011585424604597886, 0.0007783428481591055]","[0.0995765485318969, 0.00747147869873674]","[0.09855533545093602, 0.006883379744141285]","[0.10634291441602299, 0.005561287668845298]","[0.062313393667957566, 0.0023556585033627964]","[0.057324819388428254, 0.0022152134623616166]","[0.05323153422972064, 0.0026896308173692185]","[0.050232300412884276, 0.00453106085089386]","[0.12369076333809766, 0.004782451709801049]","[0.0162164166347306, 0.0016829433175911885]","[0.06448869979630732, 0.0021468644763176946]","[0.03786572144159636, 0.001183916363807912]","[0.00013038816984669395, 0.00037496202340379437]","[0.011379833776966396, 0.001693961090629228]"
"[7.633567145746719e-06, 6.828281397285207e-08]","[1.1098739286346482e-05, 1.676933138566563e-07]","[2.653411199173721e-07, 1.2859564149129124e-09]","[1.3417507868988284e-05, 6.3307695013119e-07]","[1.538995511316356e-05, 1.576201029148995e-07]","[3.1916871873645758e-06, 2.168748849820041e-08]","[1.3030537120181209e-06, 5.885169266467978e-08]","[2.591186289371047e-07, 7.105888963839713e-10]","[3.909238597870968e-07, 9.101843311263875e-09]","[2.8791215328568818e-05, 1.8825001855802961e-07]","[1.0782351914012972e-05, 1.1841877399413885e-07]","[1.3180898052995733e-05, 8.374563224708e-08]","[6.766135671413818e-08, 2.9852472852085967e-10]","[1.0372144127490255e-05, 8.708317544067302e-08]","[3.1750892160635615e-07, 1.3475689926028495e-09]","[6.158775323959192e-08, 1.6874509296175328e-10]","[1.1029662635357107e-07, 5.901362073557001e-10]","[8.51463945328699e-08, 3.892610129589621e-10]","[1.1899474004603849e-08, 9.873992683029834e-11]","[3.935952371502647e-06, 6.44900308198849e-08]"
